route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,ct_cardinal_direction
120,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802202__MCOB-DO:111:6:Sunday:1:24MAR:31009:1234567,"Lynnwood",0,MCOB-DO:111:6:Sunday:1:24MAR:31009:1234567,120:97,1,1,W
120,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802203__MCOB-DO:111:6:Sunday:1:24MAR:31005:1234567,"Lynnwood",0,MCOB-DO:111:6:Sunday:1:24MAR:31005:1234567,120:97,1,1,W
120,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802204__MCOB-DO:111:6:Sunday:1:24MAR:31009:1234567,"Lynnwood",0,MCOB-DO:111:6:Sunday:1:24MAR:31009:1234567,120:97,1,1,W
120,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802205__MCOB-DO:111:6:Sunday:1:24MAR:31005:1234567,"Lynnwood",0,MCOB-DO:111:6:Sunday:1:24MAR:31005:1234567,120:97,1,1,W
120,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802206__MCOB-DO:111:6:Sunday:1:24MAR:31009:1234567,"Lynnwood",0,MCOB-DO:111:6:Sunday:1:24MAR:31009:1234567,120:97,1,1,W
120,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802207__MCOB-DO:111:6:Sunday:1:24MAR:31008:1234567,"Canyon Park",1,MCOB-DO:111:6:Sunday:1:24MAR:31008:1234567,120:98,1,1,E
120,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802208__MCOB-DO:111:6:Sunday:1:24MAR:31005:1234567,"Lynnwood",0,MCOB-DO:111:6:Sunday:1:24MAR:31005:1234567,120:97,1,1,W
120,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802209__MCOB-DO:111:6:Sunday:1:24MAR:31009:1234567,"Lynnwood",0,MCOB-DO:111:6:Sunday:1:24MAR:31009:1234567,120:97,1,1,W
120,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802210__MCOB-DO:111:6:Sunday:1:24MAR:31005:1234567,"Canyon Park",1,MCOB-DO:111:6:Sunday:1:24MAR:31005:1234567,120:98,1,1,E
120,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802211__MCOB-DO:111:6:Sunday:1:24MAR:31005:1234567,"Canyon Park",1,MCOB-DO:111:6:Sunday:1:24MAR:31005:1234567,120:98,1,1,E
120,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802212__MCOB-DO:111:6:Sunday:1:24MAR:31005:1234567,"Canyon Park",1,MCOB-DO:111:6:Sunday:1:24MAR:31005:1234567,120:98,1,1,E
120,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802213__MCOB-DO:111:6:Sunday:1:24MAR:31005:1234567,"Canyon Park",1,MCOB-DO:111:6:Sunday:1:24MAR:31005:1234567,120:98,1,1,E
120,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802214__MCOB-DO:111:6:Sunday:1:24MAR:31005:1234567,"Canyon Park",1,MCOB-DO:111:6:Sunday:1:24MAR:31005:1234567,120:98,1,1,E
120,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802215__MCOB-DO:111:6:Sunday:1:24MAR:31009:1234567,"Canyon Park",1,MCOB-DO:111:6:Sunday:1:24MAR:31009:1234567,120:98,1,1,E
120,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802216__MCOB-DO:111:6:Sunday:1:24MAR:31009:1234567,"Canyon Park",1,MCOB-DO:111:6:Sunday:1:24MAR:31009:1234567,120:98,1,1,E
120,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802217__MCOB-DO:111:6:Sunday:1:24MAR:31009:1234567,"Canyon Park",1,MCOB-DO:111:6:Sunday:1:24MAR:31009:1234567,120:98,1,1,E
120,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802218__MCOB-DO:111:6:Sunday:1:24MAR:31009:1234567,"Canyon Park",1,MCOB-DO:111:6:Sunday:1:24MAR:31009:1234567,120:98,1,1,E
120,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802219__MCOB-DO:111:6:Sunday:1:24MAR:31005:1234567,"Canyon Park",1,MCOB-DO:111:6:Sunday:1:24MAR:31005:1234567,120:98,1,1,E
130,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802220__MCOB-DO:111:6:Sunday:1:24MAR:41003:1234567,"Lynnwood",1,MCOB-DO:111:6:Sunday:1:24MAR:41003:1234567,130:112,1,1,E
130,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802221__MCOB-DO:111:6:Sunday:1:24MAR:41008:1234567,"Lynnwood",1,MCOB-DO:111:6:Sunday:1:24MAR:41008:1234567,130:112,1,1,E
130,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802222__MCOB-DO:111:6:Sunday:1:24MAR:41027:1234567,"Lynnwood",1,MCOB-DO:111:6:Sunday:1:24MAR:41027:1234567,130:112,1,1,E
130,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802223__MCOB-DO:111:6:Sunday:1:24MAR:41003:1234567,"Lynnwood",1,MCOB-DO:111:6:Sunday:1:24MAR:41003:1234567,130:112,1,1,E
130,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802224__MCOB-DO:111:6:Sunday:1:24MAR:41008:1234567,"Lynnwood",1,MCOB-DO:111:6:Sunday:1:24MAR:41008:1234567,130:112,1,1,E
130,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802225__MCOB-DO:111:6:Sunday:1:24MAR:41027:1234567,"Lynnwood",1,MCOB-DO:111:6:Sunday:1:24MAR:41027:1234567,130:112,1,1,E
130,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802226__MCOB-DO:111:6:Sunday:1:24MAR:41003:1234567,"Lynnwood",1,MCOB-DO:111:6:Sunday:1:24MAR:41003:1234567,130:112,1,1,E
130,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802227__MCOB-DO:111:6:Sunday:1:24MAR:41008:1234567,"Lynnwood",1,MCOB-DO:111:6:Sunday:1:24MAR:41008:1234567,130:112,1,1,E
130,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802228__MCOB-DO:111:6:Sunday:1:24MAR:41043:1234567,"Lynnwood",1,MCOB-DO:111:6:Sunday:1:24MAR:41043:1234567,130:112,1,1,E
130,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802229__MCOB-DO:111:6:Sunday:1:24MAR:41003:1234567,"Lynnwood",1,MCOB-DO:111:6:Sunday:1:24MAR:41003:1234567,130:112,1,1,E
