route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
Q48,CS_C4-Weekday,CS_C4-Weekday-043900_Q48_802,LAGUARDIA AIRPORT,1,35931335,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-045400_Q48_805,LAGUARDIA AIRPORT,1,35931343,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-152400_Q48_806,FLUSHING MAIN ST STATION,0,35931346,Q480040
Q48,CS_C4-Weekday,CS_C4-Weekday-149500_MISC_517,FLUSHING MAIN ST STATION,0,35931349,Q480039
Q48,CS_C4-Weekday,CS_C4-Weekday-041100_Q48_801,LAGUARDIA AIRPORT,1,35931334,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-048700_Q48_801,LAGUARDIA AIRPORT,1,35931334,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-050700_Q48_802,LAGUARDIA AIRPORT,1,35931335,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-052700_Q48_805,LAGUARDIA AIRPORT,1,35931343,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-054700_Q48_803,LAGUARDIA AIRPORT,1,35931336,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-056700_Q48_804,LAGUARDIA AIRPORT,1,35931334,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-044600_Q48_801,FLUSHING MAIN ST STATION,0,35931334,Q480039
Q48,CS_C4-Weekday,CS_C4-Weekday-052500_Q48_801,FLUSHING MAIN ST STATION,0,35931334,Q480039
Q48,CS_C4-Weekday,CS_C4-Weekday-054500_Q48_802,FLUSHING MAIN ST STATION,0,35931335,Q480039
Q48,CS_C4-Weekday,CS_C4-Weekday-056500_Q48_805,FLUSHING MAIN ST STATION,0,35931343,Q480039
Q48,CS_C4-Weekday,CS_C4-Weekday-058500_Q48_803,FLUSHING MAIN ST STATION,0,35931336,Q480039
Q48,CS_C4-Weekday,CS_C4-Weekday-147100_MISC_510,FLUSHING MAIN ST STATION,0,35931347,Q480040
Q48,CS_C4-Weekday,CS_C4-Weekday-058700_MISC_402,LAGUARDIA AIRPORT,1,35931335,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-060700_Q48_805,LAGUARDIA AIRPORT,1,35931343,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-062700_Q48_801,LAGUARDIA AIRPORT,1,35931336,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-064700_Q48_804,LAGUARDIA AIRPORT,1,35931334,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-066700_MISC_402,LAGUARDIA AIRPORT,1,35931335,Q480037
