service_id,date,exception_type
QV_C4-Weekday-BM,20240701,1
QV_C4-Weekday,20240703,1
QV_C4-Weekday-BM,20240702,1
QV_C4-Weekday,20240812,1
QV_C4-Weekday-BM,20240811,1
QV_C4-Weekday,20240813,1
QV_C4-Weekday-BM,20240812,1
QV_C4-Weekday,20240814,1
QV_C4-Weekday-BM,20240813,1
QV_C4-Weekday,20240815,1
QV_C4-Weekday-BM,20240814,1
QV_C4-Weekday,20240816,1
QV_C4-Weekday-BM,20240815,1
QV_C4-Weekday,20240819,1
QV_C4-Weekday-BM,20240818,1
QV_C4-Weekday,20240820,1
QV_C4-Weekday-BM,20240819,1
QV_C4-Weekday,20240821,1
QV_C4-Weekday-BM,20240820,1
QV_C4-Weekday,20240822,1
QV_C4-Weekday-BM,20240821,1
QV_C4-Weekday,20240823,1
QV_C4-Weekday-BM,20240822,1
QV_C4-Weekday,20240826,1
QV_C4-Weekday-BM,20240825,1
QV_C4-Weekday,20240827,1
QV_C4-Weekday-BM,20240826,1
QV_C4-Weekday,20240828,1
QV_C4-Weekday-BM,20240827,1
QV_C4-Weekday,20240829,1
QV_C4-Weekday-BM,20240828,1
QV_C4-Weekday,20240830,1
QV_C4-Weekday-BM,20240829,1
QV_C4-Saturday,20240704,1
QV_C4-Saturday-BM,20240703,1
