route_id,trip_id,service_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,drt_advance_book_min,bikes_allowed,peak_offpeak,boarding_type
41,t6A7-b1006-sl3,3,To Olympia Transit Center,1,4102,25,1,0.0,1,0,0
42,t6A7-b1069-sl2,2,To Olympia Transit Center,1,4201,40,1,0.0,1,0,0
94,t6A8-b24BC-sl2,2,To Olympia Transit Center,1,9404,31,1,0.0,1,0,0
94,t6A8-b24BD-sl3,3,To Olympia Transit Center,1,9405,31,1,0.0,1,0,0
45,t6AA-b1196-sl3,3,To Olympia Transit Center,1,4502,16,1,0.0,1,0,0
45,t6AA-b1199-sl2,2,To Olympia Transit Center,1,4505,16,1,0.0,1,0,0
60,t6AB-b1773-sl3,3,To Olympia Transit Center,1,6003,4,1,0.0,1,0,0
60,t6AB-b1775-sl2,2,To Olympia Transit Center,1,6005,4,1,0.0,1,0,0
100,t6AB-b73-sl2,2,To Martin Way P&R,0,115,44,1,0.0,1,0,0
47,t6AC-b1776-sl2,2,To Olympia Transit Center,1,6006,28,1,0.0,1,0,0
621,t6AD-b1840-sl2,2,To Olympia Transit Center,1,6208,20,1,0.0,1,0,0
621,t6AD-b1840-sl3,3,To Olympia Transit Center,1,6208,20,1,0.0,1,0,0
13,t6AD-b515-sl2,2,To Olympia Transit Center,1,1301,17,1,0.0,1,0,0
13,t6AD-b516-sl3,3,To Olympia Transit Center,1,1302,17,1,0.0,1,0,0
68,t6AE-b1A91-sl2,2,To Lacey Transit Center,1,6801,35,1,0.0,1,0,0
68,t6AE-b1A96-sl3,3,To Lacey Transit Center,1,6806,35,1,0.0,1,0,0
48,t6AF-b19C9-sl2,2,To Olympia Transit Center,1,6601,13,1,0.0,1,0,0
48,t6AF-b19CC-sl3,3,To Olympia Transit Center,1,6604,13,1,0.0,1,0,0
21,t6B0-b1772-sl3,3,To Olympia Transit Center,1,6002,5,1,0.0,1,0,0
21,t6B0-b1773-sl2,2,To Olympia Transit Center,1,6003,5,1,0.0,1,0,0
12,t6B0-b4B1-sl3,3,To Olympia Transit Center,1,1201,26,1,0.0,1,0,0
12,t6B0-b4B2-sl2,2,To Olympia Transit Center,1,1202,26,1,0.0,1,0,0
64,t6B3-b1196-sl2,2,To Amtrak Station,0,4502,33,1,0.0,1,0,0
45,t6B3-b1198-sl2,2,To Capital Mall,0,4504,6,1,0.0,1,0,0
64,t6B3-b1902-sl3,3,To Amtrak Station,0,6402,33,1,0.0,1,0,0
48,t6B3-b19CA-sl2,2,To Evergreen St College,0,6602,32,1,0.0,1,0,0
48,t6B3-b19CA-sl3,3,To Evergreen St College,0,6602,32,1,0.0,1,0,0
66,t6B3-b19CD-sl2,2,To Lacey Corporate Center,0,6605,9,1,0.0,1,0,0
66,t6B3-b19CD-sl3,3,To Lacey Corporate Center,0,6605,9,1,0.0,1,0,0
67,t6B3-b1A2D-sl2,2,To Lacey Transit Center,1,6701,2,1,0.0,1,0,0
67,t6B3-b1A2D-sl3,3,To Lacey Transit Center,1,6701,2,1,0.0,1,0,0
94,t6B3-b24BA-sl2,2,To Yelm Walmart,0,9402,3,1,0.0,1,0,0
94,t6B3-b24BA-sl3,3,To Yelm Walmart,0,9402,3,1,0.0,1,0,0
13,t6B3-b515-sl3,3,To Labor and Industries,0,1301,10,1,0.0,1,0,0
13,t6B3-b516-sl2,2,To Labor and Industries,0,1302,10,1,0.0,1,0,0
100,t6B3-b6F-sl2,2,To Capital Mall,1,111,43,1,0.0,1,0,0
620,t6B5-b26AF-sl2,2,To Olympia Transit Center,1,9903,22,1,0.0,1,0,0
64,t6B6-b1197-sl2,2,To Olympia Transit Center,1,4503,37,1,0.0,1,0,0
621,t6B6-b183E-sl2,2,To Northeast Lacey,0,6206,0,1,0.0,1,0,0
621,t6B6-b183E-sl3,3,To Northeast Lacey,0,6206,0,1,0.0,1,0,0
64,t6B6-b1901-sl3,3,To Olympia Transit Center,1,6401,37,1,0.0,1,0,0
65,t6BA-b1A92-sl2,2,To Lacey Transit Center,1,6802,29,1,0.0,1,0,0
65,t6BA-b1A94-sl3,3,To Lacey Transit Center,1,6804,29,1,0.0,1,0,0
620,t6BA-b26C3-sl2,2,To SR 512 Park & Ride,0,9923,30,1,0.0,1,0,0
13,t6BC-b517-sl2,2,To Olympia Transit Center,1,1303,17,1,0.0,1,0,0
42,t6BE-b1069-sl2,2,To Family Court,0,4201,42,1,0.0,1,0,0
68,t6BE-b1A91-sl3,3,To Capital Mall,0,6801,12,1,0.0,1,0,0
68,t6BE-b1A93-sl2,2,To Capital Mall,0,6803,12,1,0.0,1,0,0
622,t6C0-b183A-sl3,3,To Olympia Transit Center,1,6202,19,1,0.0,1,0,0
622,t6C0-b183B-sl2,2,To Olympia Transit Center,1,6203,19,1,0.0,1,0,0
66,t6C0-b19C9-sl3,3,To Olympia Transit Center,1,6601,18,1,0.0,1,0,0
66,t6C0-b19CB-sl2,2,To Olympia Transit Center,1,6603,18,1,0.0,1,0,0
41,t6C2-b1005-sl2,2,To Evergreen St College,0,4101,1,1,0.0,1,0,0
41,t6C2-b1006-sl3,3,To Evergreen St College,0,4102,1,1,0.0,1,0,0
47,t6C2-b1771-sl2,2,To Capital Mall,0,6001,14,1,0.0,1,0,0
60,t6C2-b1772-sl3,3,To Panorama,0,6002,7,1,0.0,1,0,0
60,t6C2-b1773-sl2,2,To Panorama,0,6003,7,1,0.0,1,0,0
21,t6C2-b1776-sl2,2,To 26th Ave,0,6006,24,1,0.0,1,0,0
622,t6C2-b183F-sl2,2,To The Meadows,0,6207,11,1,0.0,1,0,0
622,t6C2-b183F-sl3,3,To The Meadows,0,6207,11,1,0.0,1,0,0
65,t6C2-b1A96-sl2,2,To 41st Avenue,0,6806,8,1,0.0,1,0,0
65,t6C2-b1A97-sl3,3,To 41st Avenue,0,6807,8,1,0.0,1,0,0
12,t6C2-b4B2-sl3,3,To Labor and Industries,0,1202,27,1,0.0,1,0,0
12,t6C2-b4B3-sl2,2,To Labor and Industries,0,1203,27,1,0.0,1,0,0
13,t6C2-b518-sl2,2,To Labor and Industries,0,1304,10,1,0.0,1,0,0
41,t6C5-b1005-sl3,3,To Olympia Transit Center,1,4101,25,1,0.0,1,0,0
41,t6C5-b1006-sl2,2,To Olympia Transit Center,1,4102,25,1,0.0,1,0,0
94,t6C6-b24B9-sl3,3,To Olympia Transit Center,1,9401,31,1,0.0,1,0,0
94,t6C6-b24BB-sl2,2,To Olympia Transit Center,1,9403,31,1,0.0,1,0,0
45,t6C8-b1198-sl2,2,To Olympia Transit Center,1,4504,16,1,0.0,1,0,0
60,t6C9-b1772-sl2,2,To Olympia Transit Center,1,6002,4,1,0.0,1,0,0
47,t6CA-b1771-sl3,3,To Olympia Transit Center,1,6001,28,1,0.0,1,0,0
47,t6CA-b1774-sl2,2,To Olympia Transit Center,1,6004,28,1,0.0,1,0,0
621,t6CB-b183C-sl3,3,To Olympia Transit Center,1,6204,20,1,0.0,1,0,0
621,t6CB-b183D-sl2,2,To Olympia Transit Center,1,6205,20,1,0.0,1,0,0
13,t6CB-b515-sl3,3,To Olympia Transit Center,1,1301,17,1,0.0,1,0,0
13,t6CB-b516-sl2,2,To Olympia Transit Center,1,1302,17,1,0.0,1,0,0
68,t6CC-b1A92-sl3,3,To Lacey Transit Center,1,6802,35,1,0.0,1,0,0
68,t6CC-b1A94-sl2,2,To Lacey Transit Center,1,6804,35,1,0.0,1,0,0
48,t6CD-b19CA-sl2,2,To Olympia Transit Center,1,6602,13,1,0.0,1,0,0
48,t6CD-b19CA-sl3,3,To Olympia Transit Center,1,6602,13,1,0.0,1,0,0
21,t6CE-b1776-sl2,2,To Olympia Transit Center,1,6006,5,1,0.0,1,0,0
12,t6CE-b4B1-sl2,2,To Olympia Transit Center,1,1201,26,1,0.0,1,0,0
12,t6CE-b4B3-sl3,3,To Olympia Transit Center,1,1203,26,1,0.0,1,0,0
620,t6CF-b26C2-sl2,2,To Olympia Transit Center,1,9922,22,1,0.0,1,0,0
45,t6D1-b1195-sl2,2,To Capital Mall,0,4501,6,1,0.0,1,0,0
45,t6D1-b1195-sl3,3,To Capital Mall,0,4501,6,1,0.0,1,0,0
64,t6D1-b1196-sl3,3,To Amtrak Station,0,4502,33,1,0.0,1,0,0
64,t6D1-b1199-sl2,2,To Amtrak Station,0,4505,33,1,0.0,1,0,0
66,t6D1-b19C9-sl2,2,To Lacey Corporate Center,0,6601,9,1,0.0,1,0,0
48,t6D1-b19CB-sl3,3,To Evergreen St College,0,6603,32,1,0.0,1,0,0
48,t6D1-b19CC-sl2,2,To Evergreen St College,0,6604,32,1,0.0,1,0,0
66,t6D1-b19CC-sl3,3,To Lacey Corporate Center,0,6604,9,1,0.0,1,0,0
94,t6D1-b24B9-sl2,2,To Yelm Walmart,0,9401,3,1,0.0,1,0,0
94,t6D1-b24BB-sl3,3,To Yelm Walmart,0,9403,3,1,0.0,1,0,0
13,t6D1-b515-sl2,2,To Labor and Industries,0,1301,10,1,0.0,1,0,0
13,t6D1-b516-sl3,3,To Labor and Industries,0,1302,10,1,0.0,1,0,0
42,t6D4-b1069-sl2,2,To Olympia Transit Center,1,4201,40,1,0.0,1,0,0
64,t6D4-b1197-sl3,3,To Olympia Transit Center,1,4503,37,1,0.0,1,0,0
64,t6D4-b119A-sl2,2,To Olympia Transit Center,1,4506,37,1,0.0,1,0,0
621,t6D4-b1839-sl2,2,To Northeast Lacey,0,6201,0,1,0.0,1,0,0
621,t6D4-b1839-sl3,3,To Northeast Lacey,0,6201,0,1,0.0,1,0,0
65,t6D8-b1A96-sl2,2,To Lacey Transit Center,1,6806,29,1,0.0,1,0,0
65,t6D8-b1A97-sl3,3,To Lacey Transit Center,1,6807,29,1,0.0,1,0,0
