shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon,shape_dist_traveled
990005:99913,5769,47.656951,-122.309929,18453.84
990005:99913,5770,47.656892,-122.309526,18555.4
990005:99913,5771,47.656833,-122.309123,18657.0
990005:99913,5772,47.656769,-122.308722,18758.78
990005:99913,5773,47.656691,-122.308322,18861.28
990005:99913,5774,47.656595,-122.307926,18964.9
990005:99913,5775,47.656480,-122.307536,19069.88
990005:99913,5776,47.656345,-122.307152,19176.57
990005:99913,5777,47.656189,-122.306776,19285.3
990005:99913,5778,47.656012,-122.306409,19396.28
990005:99913,5779,47.655814,-122.306054,19509.89
990005:99913,5780,47.655593,-122.305712,19626.53
990005:99913,5781,47.655347,-122.305387,19746.64
990005:99913,5782,47.655077,-122.305083,19870.47
990005:99913,5783,47.654782,-122.304803,19998.35
990005:99913,5784,47.654462,-122.304552,20130.55
990005:99913,5785,47.654117,-122.304336,20267.16
990005:99913,5786,47.653749,-122.304161,20407.89
990005:99913,5787,47.653364,-122.304032,20552.18
990005:99913,5788,47.652964,-122.303956,20699.14
990005:99913,5789,47.652558,-122.303928,20847.42
990005:99913,5790,47.652151,-122.303917,20995.9
990005:99913,5791,47.651744,-122.303906,21144.37
990005:99913,5792,47.651337,-122.303895,21292.85
990005:99913,5793,47.650930,-122.303884,21441.33
990005:99913,5794,47.650523,-122.303873,21589.8
990005:99913,5795,47.649704,-122.303864,21888.57
990005:99913,5796,47.649521,-122.303848,21954.07
990005:99913,5797,47.649296,-122.303848,22036.37
990005:99913,5798,47.649048,-122.303833,22128.57
990005:99913,5799,47.648781,-122.303833,22224.87
990005:99913,5800,47.647518,-122.303795,22684.97
990005:99913,5801,47.647224,-122.303795,22791.27
990005:99913,5802,47.646854,-122.303795,22926.67
990005:99913,5803,47.646431,-122.303802,23081.77
990005:99913,5804,47.646023,-122.303833,23229.37
990005:99913,5805,47.645569,-122.303886,23397.27
990005:99913,5806,47.645138,-122.303940,23556.77
990005:99913,5807,47.644714,-122.304008,23710.77
990005:99913,5808,47.644299,-122.304108,23862.07
990005:99913,5809,47.643875,-122.304199,24019.87
990005:99913,5810,47.643417,-122.304314,24188.27
990005:99913,5811,47.642929,-122.304459,24370.47
990005:99913,5812,47.642479,-122.304611,24540.87
990005:99913,5813,47.641983,-122.304802,24726.77
990005:99913,5814,47.641407,-122.305046,24943.97
990005:99913,5815,47.640934,-122.305267,25125.27
990005:99913,5816,47.640381,-122.305557,25339.47
990005:99913,5817,47.639839,-122.305855,25549.77
990005:99913,5818,47.639366,-122.306145,25737.87
990005:99913,5819,47.638844,-122.306480,25946.07
990005:99913,5820,47.638317,-122.306870,26158.27
990005:99913,5821,47.637817,-122.307251,26364.07
990005:99913,5822,47.636810,-122.308067,26782.67
990005:99913,5823,47.636238,-122.308548,27022.37
990005:99913,5824,47.629559,-122.314011,29809.37
990005:99913,5825,47.628090,-122.315208,30417.87
990005:99913,5826,47.627274,-122.315880,30759.27
990005:99913,5827,47.626259,-122.316711,31184.17
990005:99913,5828,47.624302,-122.318314,31999.47
990005:99913,5829,47.623722,-122.318794,32240.07
990005:99913,5830,47.623409,-122.319054,32371.37
990005:99913,5831,47.623161,-122.319244,32475.67
990005:99913,5832,47.622822,-122.319458,32610.57
990005:99913,5833,47.622513,-122.319641,32729.27
990005:99913,5834,47.622131,-122.319832,32876.87
990005:99913,5835,47.621750,-122.319992,33023.17
990005:99913,5836,47.621326,-122.320114,33178.97
990005:99913,5837,47.620918,-122.320213,33331.97
990005:99913,5838,47.620590,-122.320267,33449.97
990005:99913,5839,47.620232,-122.320297,33580.47
990005:99913,5840,47.619808,-122.320297,33734.37
990005:99913,5841,47.619560,-122.320282,33826.27
990005:99913,5842,47.618324,-122.320267,34276.07
990005:99913,5843,47.617844,-122.320267,34451.77
990005:99913,5844,47.617550,-122.320267,34558.27
990005:99913,5845,47.617245,-122.320320,34670.87
990005:99913,5846,47.616909,-122.320404,34795.77
990005:99913,5847,47.616566,-122.320541,34924.27
990005:99913,5848,47.616226,-122.320717,35056.07
990005:99913,5849,47.615932,-122.320892,35170.67
990005:99913,5850,47.615585,-122.321198,35319.37
990005:99913,5851,47.615303,-122.321457,35441.17
990005:99913,5852,47.614983,-122.321838,35589.97
990005:99913,5853,47.614727,-122.322189,35719.77
990005:99913,5854,47.614471,-122.322601,35853.57
990005:99913,5855,47.614281,-122.322968,35969.87
990005:99913,5856,47.614113,-122.323341,36081.27
990005:99913,5857,47.613926,-122.323845,36222.07
990005:99913,5858,47.613781,-122.324295,36344.47
990005:99913,5859,47.613663,-122.324799,36478.17
990005:99913,5860,47.613560,-122.325317,36610.77
