route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
Q56,EN_C4-Saturday,EN_C4-Saturday-018000_Q24_402,BROADWAY JCT VAN SINDEREN AV via JAMAICA,1,36167083,Q560014
B25,EN_C4-Saturday,EN_C4-Saturday-018300_B25_201,DOWNTOWN BKLYN FRONT ST via FULTON,1,36167063,B250031
B14,EN_C4-Saturday,EN_C4-Saturday-018700_B14_701,SPRING CREEK STANLEY AV POSTAL FAC,0,36166846,B140022
B12,EN_C4-Saturday,EN_C4-Saturday-019000_B12_1,EAST NEW YORK ALABAMA AV,0,36167108,B120019
B15,EN_C4-Saturday,EN_C4-Saturday-019000_B15_105,JFK AIRPORT,0,36167147,B150033
B42,EN_C4-Saturday,EN_C4-Saturday-019000_B42_501,ROCKAWAY PKY STA,0,36166930,B421036
Q24,EN_C4-Saturday,EN_C4-Saturday-019000_Q56_451,JAMAICA 168 ST via ATLANTIC,0,36167106,Q240242
B12,EN_C4-Saturday,EN_C4-Saturday-019500_B12_2,LEFFERTS GARDENS OCEAN AV,1,36167107,B120015
B42,EN_C4-Saturday,EN_C4-Saturday-020000_B42_501,CANARSIE PIER,1,36166930,B420005
Q24,EN_C4-Saturday,EN_C4-Saturday-020000_Q24_401,LAFAYETTE AV PATCHEN AV via ATLANTIC AV,1,36167082,Q240239
B15,EN_C4-Saturday,EN_C4-Saturday-020500_B15_102,BED-STUY WOODHULL HOSPITAL,1,36167139,B150031
B15,EN_C4-Saturday,EN_C4-Saturday-020500_B15_106,JFK AIRPORT,0,36167132,B150033
B17,EN_C4-Saturday,EN_C4-Saturday-021000_B17_751,CROWN HEIGHTS EASTERN PKY,0,36166827,B170993
B42,EN_C4-Saturday,EN_C4-Saturday-021000_B42_501,ROCKAWAY PKY STA,0,36166930,B421036
B82,EN_C4-Saturday,EN_C4-Saturday-021000_B82_601,SPRING CRK TWRS SEAVIEW AV via KINGS HWY,0,36166912,B820075
B82,EN_C4-Saturday,EN_C4-Saturday-021000_B82_602,CONEY ISLAND STILLWELL AV via FLATLANDS,1,36166913,B820069
B25,EN_C4-Saturday,EN_C4-Saturday-021800_B25_201,BROADWAY JCT ALABAMA AV via FULTON,0,36167063,B250029
B14,EN_C4-Saturday,EN_C4-Saturday-022000_B14_701,CROWN HEIGHTS UTICA AV,1,36166846,B140023
B15,EN_C4-Saturday,EN_C4-Saturday-022000_B15_107,JFK AIRPORT,0,36167243,B150033
